Bundesland	Standort	Datum	Genkopien_normalisiert
Bayern	Altötting	2022-03-14	88016544000
Bayern	Altötting	2022-03-16	1584515520000
Bayern	Altötting	2022-03-21	177651360000
Bayern	Altötting	2022-03-23	184472640000
Bayern	Altötting	2022-03-28	308396160000
Bayern	Altötting	2022-03-30	17986752000
Bayern	Altötting	2022-04-04	137238624000
Bayern	Altötting	2022-04-06	202020480000
Bayern	Altötting	2022-04-11	46882368000
Bayern	Altötting	2022-04-12	38181456000
Bayern	Altötting	2022-04-18	35646912000
Bayern	Altötting	2022-04-20	58396464000
Bayern	Altötting	2022-04-25	47568816000
Bayern	Altötting	2022-04-27	128042640000
Bayern	Altötting	2022-05-02	4669920000
Bayern	Altötting	2022-05-04	354567456000
Bayern	Altötting	2022-05-09	41332032000
Bayern	Altötting	2022-05-11	120432960000
Bayern	Altötting	2022-05-16	22679568000
Bayern	Altötting	2022-05-18	56125440000
Bayern	Altötting	2022-05-23	35389440000
Bayern	Altötting	2022-05-24	30270240000
Bayern	Altötting	2022-05-30	12912048000
Bayern	Altötting	2022-06-01	167704992000
Bayern	Altötting	2022-06-06	144305280000
Bayern	Altötting	2022-06-08	85276800000
Bayern	Altötting	2022-06-13	145916640000
Bayern	Altötting	2022-06-14	3810240000
Bayern	Altötting	2022-06-20	141458400000
Bayern	Altötting	2022-06-22	1122718320000
Bayern	Altötting	2022-06-27	455098608000
Bayern	Altötting	2022-06-29	69811200000
Bayern	Altötting	2022-07-04	166026240000
Bayern	Altötting	2022-07-06	130775040000
Bayern	Altötting	2022-07-11	278619782400
Bayern	Altötting	2022-07-13	266009184000
Bayern	Altötting	2022-07-18	468996480000
Bayern	Altötting	2022-07-20	613967299200
Bayern	Altötting	2022-07-25	631847649600
Bayern	Altötting	2022-07-27	161849275200
Bayern	Altötting	2022-08-01	14534942400
Bayern	Altötting	2022-08-03	40819032000
Bayern	Altötting	2022-08-08	31497984000
Bayern	Altötting	2022-08-10	20135088000
Bayern	Altötting	2022-08-16	14576889600
Bayern	Altötting	2022-08-17	8024313600
Bayern	Altötting	2022-08-22	16083100800
Bayern	Altötting	2022-08-24	27385344000
Bayern	Altötting	2022-08-29	131870851200
Bayern	Altötting	2022-08-31	4012416000
Bayern	Altötting	2022-09-05	10471723200
Bayern	Altötting	2022-09-07	14523235200
Bayern	Altötting	2022-09-12	29064571200
Bayern	Altötting	2022-09-14	21459816000
Bayern	Altötting	2022-09-19	102772584000
Bayern	Altötting	2022-09-21	14981760000
Bayern	Altötting	2022-09-26	149075251200
Bayern	Altötting	2022-09-28	820964073600
Bayern	Altötting	2022-10-03	233720640000
Bayern	Altötting	2022-10-05	1636879907520
Bayern	Altötting	2022-10-10	369560188800
Bayern	Altötting	2022-10-12	1055618179200
Bayern	Altötting	2022-10-17	400040812800
Bayern	Altötting	2022-10-19	700967520000
Bayern	Altötting	2022-10-24	157538304000
Bayern	Altötting	2022-10-26	74379254400
Bayern	Altötting	2022-10-31	81447379200
Bayern	Altötting	2022-11-02	241616908800
Bayern	Altötting	2022-11-07	827763684480
Bayern	Altötting	2022-11-09	938745244800
Bayern	Altötting	2022-11-14	1703188555200
Bayern	Altötting	2022-11-16	110084313600
Bayern	Altötting	2022-11-21	361479827520
Bayern	Altötting	2022-11-23	78702624000
Bayern	Altötting	2022-11-28	197904720960
Bayern	Altötting	2022-11-30	523300901760
Bayern	Altötting	2022-12-05	24794035200
Bayern	Altötting	2022-12-07	302431181760
Bayern	Altötting	2022-12-12	637089546240
Bayern	Altötting	2022-12-14	520052659200
Bayern	Altötting	2022-12-19	1330297862400
Bayern	Altötting	2022-12-21	75275136000
Bayern	Altötting	2022-12-26	444115224000
Bayern	Altötting	2022-12-28	1219067712000
Bayern	Altötting	2023-01-02	645422515200
Bayern	Altötting	2023-01-03	479133792000
Bayern	Altötting	2023-01-09	525579840000
Bayern	Altötting	2023-01-11	703870992000
Bayern	Altötting	2023-01-16	1079451360000
Bayern	Altötting	2023-01-18	715478400000
Bayern	Altötting	2023-01-23	1308853728000
Bayern	Altötting	2023-01-25	834598944000
Bayern	Altötting	2023-01-30	777117888000
Bayern	Altötting	2023-02-01	935883331200
Bayern	Altötting	2023-02-06	1553021856000
Bayern	Altötting	2023-02-08	1506343651200
Bayern	Altötting	2023-02-13	3543562944000
Bayern	Altötting	2023-02-15	2043076089600
Bayern	Altötting	2023-02-22	1492483968000
Bayern	Altötting	2023-02-27	1715351040000
Bayern	Altötting	2023-03-01	815445792000
Bayern	Altötting	2023-03-06	780967008000
Bayern	Altötting	2023-03-08	1516215369600
Bayern	Altötting	2023-03-13	658412928000
Bayern	Altötting	2023-03-15	765893491200
Bayern	Altötting	2023-03-20	1001200435200
Bayern	Altötting	2023-03-22	567614736000
Bayern	Altötting	2023-03-27	418397184000
Bayern	Altötting	2023-03-29	582974496000
Berlin	Berlin	2022-02-11	205940517120000
Berlin	Berlin	2022-02-14	70282190160000
Berlin	Berlin	2022-02-17	106628450544000
Berlin	Berlin	2022-02-21	166113326880000
Berlin	Berlin	2022-02-26	37021339008000
Berlin	Berlin	2022-03-01	42335035776000
Berlin	Berlin	2022-03-04	34572588912000
Berlin	Berlin	2022-03-12	130036998240000
Berlin	Berlin	2022-03-14	84963232800000
Berlin	Berlin	2022-03-17	50425568928000
Berlin	Berlin	2022-03-23	19525912704000
Berlin	Berlin	2022-04-02	245801405088000
Berlin	Berlin	2022-04-05	79129198944000
Berlin	Berlin	2022-04-08	67833745488000
Berlin	Berlin	2022-04-11	84726411264000
Berlin	Berlin	2022-04-16	27876846816000
Berlin	Berlin	2022-04-19	74724719616000
Berlin	Berlin	2022-04-22	17093430000000
Berlin	Berlin	2022-04-25	7955344800000
Berlin	Berlin	2022-04-27	22651686288000
Berlin	Berlin	2022-05-03	16625347200000
Berlin	Berlin	2022-05-06	8726413824000
Berlin	Berlin	2022-05-09	9664125552000
Berlin	Berlin	2022-05-13	2441603520000
Berlin	Berlin	2022-05-15	8045752896000
Berlin	Berlin	2022-05-18	14722709040000
Berlin	Berlin	2022-05-23	540630288000
Berlin	Berlin	2022-05-27	10586585952000
Berlin	Berlin	2022-06-01	6599720160000
Berlin	Berlin	2022-06-05	26153581968000
Berlin	Berlin	2022-06-08	82713623040000
Berlin	Berlin	2022-06-14	55244249856000
Berlin	Berlin	2022-06-17	30646123200000
Berlin	Berlin	2022-06-20	13655243088000
Berlin	Berlin	2022-06-23	14979501504000
Berlin	Berlin	2022-06-27	3101671872000
Berlin	Berlin	2022-07-05	12686870592000
Berlin	Berlin	2022-07-09	13085958672000
Berlin	Berlin	2022-07-12	15126529680000
Berlin	Berlin	2022-07-14	11504084832000
Berlin	Berlin	2022-07-18	21231891072000
Berlin	Berlin	2022-07-23	17153337600000
Berlin	Berlin	2022-07-27	22740901632000
Berlin	Berlin	2022-07-31	7719014016000
Berlin	Berlin	2022-08-01	5144642208000
Berlin	Berlin	2022-08-06	7725238272000
Berlin	Berlin	2022-08-09	11183774112000
Berlin	Berlin	2022-08-12	3613995792000
Berlin	Berlin	2022-08-15	1812658176000
Berlin	Berlin	2022-08-19	3755643840000
Berlin	Berlin	2022-08-22	5143040784000
Berlin	Berlin	2022-08-27	2869134048000
Berlin	Berlin	2022-08-30	10796104656000
Berlin	Berlin	2022-09-03	17213872896000
Berlin	Berlin	2022-09-06	5107962816000
Berlin	Berlin	2022-09-09	6232383648000
Berlin	Berlin	2022-09-13	11258243136000
Berlin	Berlin	2022-09-17	9905807520000
Berlin	Berlin	2022-09-19	16761573648000
Berlin	Berlin	2022-09-24	17332618464000
Berlin	Berlin	2022-09-27	5616496800000
Berlin	Berlin	2022-10-01	3471295824000
Berlin	Berlin	2022-10-03	1346542704000
Berlin	Berlin	2022-10-08	11009982672000
Berlin	Berlin	2022-10-11	29010982032000
Berlin	Berlin	2022-10-14	9579072960000
Berlin	Berlin	2022-10-17	19968379200000
Berlin	Berlin	2022-10-19	8176308480000
Berlin	Berlin	2022-10-23	9401401728000
Berlin	Berlin	2022-10-29	6332406336000
Berlin	Berlin	2022-10-31	23964316560000
Berlin	Berlin	2022-11-02	11924654976000
Berlin	Berlin	2022-11-05	12124365120000
Berlin	Berlin	2022-11-07	10242033984000
Berlin	Berlin	2022-11-09	12536653824000
Berlin	Berlin	2022-11-12	14829220800000
Berlin	Berlin	2022-11-14	5545000800000
Berlin	Berlin	2022-11-16	7278595200000
Berlin	Berlin	2022-11-19	8024562000000
Berlin	Berlin	2022-11-21	9837456480000
Berlin	Berlin	2022-11-23	13087700928000
Berlin	Berlin	2022-11-26	16398369216000
Berlin	Berlin	2022-11-28	12631587120000
Berlin	Berlin	2022-11-30	8180289792000
Berlin	Berlin	2022-12-03	19031068368000
Berlin	Berlin	2022-12-05	20889648576000
Berlin	Berlin	2022-12-07	22183663104000
Berlin	Berlin	2022-12-10	33054264432000
Berlin	Berlin	2022-12-12	19359907200000
Berlin	Berlin	2022-12-14	18049379040000
Berlin	Berlin	2022-12-17	31004555328000
Berlin	Berlin	2022-12-19	14419367712000
Berlin	Berlin	2022-12-24	45662382720000
Berlin	Berlin	2022-12-28	43184925360000
Berlin	Berlin	2022-12-31	32050072656000
Berlin	Berlin	2023-01-02	10051456320000
Berlin	Berlin	2023-01-04	5019624000000
Berlin	Berlin	2023-01-07	3914721792000
Berlin	Berlin	2023-01-09	4099224672000
Berlin	Berlin	2023-01-11	10006875648000
Berlin	Berlin	2023-01-14	5692401792000
Berlin	Berlin	2023-01-16	3742855776000
Berlin	Berlin	2023-01-18	4787358768000
Berlin	Berlin	2023-01-21	3734785152000
Berlin	Berlin	2023-01-23	5155429248000
Berlin	Berlin	2023-01-25	12842464464000
Berlin	Berlin	2023-01-28	14092313472000
Berlin	Berlin	2023-01-30	12099778704000
Berlin	Berlin	2023-02-01	12555482112000
Berlin	Berlin	2023-02-04	12035520000000
Berlin	Berlin	2023-02-06	27793118736000
Berlin	Berlin	2023-02-08	27376271136000
Berlin	Berlin	2023-02-11	27453520080000
Berlin	Berlin	2023-02-13	26354358288000
Berlin	Berlin	2023-02-15	34303656816000
Berlin	Berlin	2023-02-18	31082656176000
Berlin	Berlin	2023-02-20	19486526400000
Berlin	Berlin	2023-02-22	21500338464000
Berlin	Berlin	2023-02-25	14038848720000
Berlin	Berlin	2023-02-27	10415001600000
Berlin	Berlin	2023-03-01	29451475584000
Berlin	Berlin	2023-03-04	33944728752000
Berlin	Berlin	2023-03-05	30913039152000
Berlin	Berlin	2023-03-07	51832483200000
Berlin	Berlin	2023-03-11	29986281648000
Berlin	Berlin	2023-03-13	31709050560000
Berlin	Berlin	2023-03-15	14107502592000
Berlin	Berlin	2023-03-18	27072742320000
Berlin	Berlin	2023-03-20	27879690240000
Berlin	Berlin	2023-03-22	16816280832000
Berlin	Berlin	2023-03-25	11364585120000
Berlin	Berlin	2023-03-27	16358185440000
Berlin	Berlin	2023-03-29	8821200240000
Nordrhein-Westfalen	Bonn_Gesamt	2022-06-13	540393984000
Nordrhein-Westfalen	Bonn_Gesamt	2022-06-14	847117440000
Nordrhein-Westfalen	Bonn_Gesamt	2022-06-22	1662305760000
Nordrhein-Westfalen	Bonn_Gesamt	2022-06-27	1518592320000
Nordrhein-Westfalen	Bonn_Gesamt	2022-06-29	2025457920000
Nordrhein-Westfalen	Bonn_Gesamt	2022-07-04	1912464000000
Nordrhein-Westfalen	Bonn_Gesamt	2022-07-06	1827282240000
Nordrhein-Westfalen	Bonn_Gesamt	2022-07-11	1416247200000
Nordrhein-Westfalen	Bonn_Gesamt	2022-07-13	2172054528000
Nordrhein-Westfalen	Bonn_Gesamt	2022-07-18	418279680000
Nordrhein-Westfalen	Bonn_Gesamt	2022-07-20	4231105632000
Nordrhein-Westfalen	Bonn_Gesamt	2022-07-25	471700800000
Nordrhein-Westfalen	Bonn_Gesamt	2022-08-15	1198368000000
Nordrhein-Westfalen	Bonn_Gesamt	2022-08-17	1167933600000
Nordrhein-Westfalen	Bonn_Gesamt	2022-08-22	299259360000
Nordrhein-Westfalen	Bonn_Gesamt	2022-08-24	823919040000
Nordrhein-Westfalen	Bonn_Gesamt	2022-08-29	276478272000
Nordrhein-Westfalen	Bonn_Gesamt	2022-08-31	348675840000
Nordrhein-Westfalen	Bonn_Gesamt	2022-09-05	652881600000
Nordrhein-Westfalen	Bonn_Gesamt	2022-09-19	576516960000
Nordrhein-Westfalen	Bonn_Gesamt	2022-09-21	388172736000
Nordrhein-Westfalen	Bonn_Gesamt	2022-09-26	1549220256000
Nordrhein-Westfalen	Bonn_Gesamt	2023-01-23	452663424000
Nordrhein-Westfalen	Bonn_Gesamt	2023-01-25	314694720000
Nordrhein-Westfalen	Bonn_Nord	2022-02-28	0
Nordrhein-Westfalen	Bonn_Nord	2022-03-02	2002946400000
Nordrhein-Westfalen	Bonn_Nord	2022-03-07	1805336640000
Nordrhein-Westfalen	Bonn_Nord	2022-03-09	1941900480000
Nordrhein-Westfalen	Bonn_Nord	2022-03-14	1369936800000
Nordrhein-Westfalen	Bonn_Nord	2022-03-16	1346194080000
Nordrhein-Westfalen	Bonn_Nord	2022-03-21	933508800000
Nordrhein-Westfalen	Bonn_Nord	2022-03-23	976147200000
Nordrhein-Westfalen	Bonn_Nord	2022-03-28	642945600000
Nordrhein-Westfalen	Bonn_Nord	2022-03-30	825681600000
Nordrhein-Westfalen	Bonn_Nord	2022-04-04	1013454720000
Nordrhein-Westfalen	Bonn_Nord	2022-04-06	1736873280000
Nordrhein-Westfalen	Bonn_Nord	2022-04-11	325620000000
Nordrhein-Westfalen	Bonn_Nord	2022-04-13	964465920000
Nordrhein-Westfalen	Bonn_Nord	2022-04-18	641044800000
Nordrhein-Westfalen	Bonn_Nord	2022-04-20	641952000000
Nordrhein-Westfalen	Bonn_Nord	2022-04-25	213310368000
Nordrhein-Westfalen	Bonn_Nord	2022-04-27	124270848000
Nordrhein-Westfalen	Bonn_Nord	2022-05-02	135364608000
Nordrhein-Westfalen	Bonn_Nord	2022-05-04	605145600000
Nordrhein-Westfalen	Bonn_Nord	2022-05-09	651974400000
Nordrhein-Westfalen	Bonn_Nord	2022-05-11	151991424000
Nordrhein-Westfalen	Bonn_Nord	2022-05-16	351336960000
Nordrhein-Westfalen	Bonn_Nord	2022-05-18	368188416000
Nordrhein-Westfalen	Bonn_Nord	2022-05-23	468194688000
Nordrhein-Westfalen	Bonn_Nord	2022-05-24	514335744000
Nordrhein-Westfalen	Bonn_Nord	2022-05-30	286203456000
Nordrhein-Westfalen	Bonn_Nord	2022-06-01	250810560000
Nordrhein-Westfalen	Bonn_Nord	2022-06-06	315743616000
Nordrhein-Westfalen	Bonn_Nord	2022-06-08	333590400000
Nordrhein-Westfalen	Bonn_Nord	2022-06-20	281740032000
Nordrhein-Westfalen	Bonn_Nord	2022-07-27	532174752000
Nordrhein-Westfalen	Bonn_Nord	2022-08-01	615468672000
Nordrhein-Westfalen	Bonn_Nord	2022-08-03	395235072000
Nordrhein-Westfalen	Bonn_Nord	2022-08-08	365198112000
Nordrhein-Westfalen	Bonn_Nord	2022-08-10	1192587840000
Nordrhein-Westfalen	Bonn_Nord	2022-09-12	220726944000
Nordrhein-Westfalen	Bonn_Nord	2022-09-14	508787136000
Nordrhein-Westfalen	Bonn_Nord	2022-09-28	843602688000
Nordrhein-Westfalen	Bonn_Nord	2022-10-03	396579456000
Nordrhein-Westfalen	Bonn_Nord	2022-10-05	494544960000
Nordrhein-Westfalen	Bonn_Nord	2022-10-10	213770880000
Nordrhein-Westfalen	Bonn_Nord	2022-10-12	1523567232000
Nordrhein-Westfalen	Bonn_Nord	2022-10-17	1332137664000
Nordrhein-Westfalen	Bonn_Nord	2022-10-19	1107171072000
Nordrhein-Westfalen	Bonn_Nord	2022-10-24	265543488000
Nordrhein-Westfalen	Bonn_Nord	2022-10-26	436246560000
